genre,channel,sender,date,message
speedrunning,#gamej06,djgamer1983,1497898631194,taco Bueno is way better than taco bell
variety,#totalbiscuit,newwillinium,1497898637847,@WanderingUrsa Really now? That sounds like a great boon. Too kind for this game.
variety,#totalbiscuit,wanderingursa,1497898638852,@NewWillinium I use hero/mercenary/henchmen interchangably.
chill,#enviosity,wiz3933,1497898644505,barbHmm
variety,#totalbiscuit,theslikbandit,1497898648760,"Yeah, Rabies was okay to have depending on the hero it was on"
speedrunning,#gamej06,redgunshow,1497898648806,"isnt it faster to fall, then jump slightly on to the flag pole?"
speedrunning,#gamej06,bebopandtempo,1497898649763,Hey GameJ06! May I whisper?
speedrunning,#gamej06,moobot,1497898649885,"New this year, Any person triggering an alert (Sub, Resub, Tip or Cheer is eligible for a chance to become an INSTANT WINNER. Check out the details at pastebin.com/zMqdxsEi"
variety,#totalbiscuit,ash32121,1497898650130,vamp run
variety,#totalbiscuit,ash32121,1497898651493,let's go
chill,#shenryyr,p0derosoo,1497898652056,forgot to repair infrastructure priority on that japanese island
variety,#totalbiscuit,wanderingursa,1497898652169,@NewWillinium I am sure it is. ;)
chill,#shenryyr,moobot,1497898652182,Topic: Communist States of Murica boissss shenStory in HOI4 (by residentsheeper 1h ago)
chill,#enviosity,jimsharpe1985,1497898653017,what. the. heck
chill,#enviosity,neko_zume,1497898654076,DansGame
chill,#shenryyr,ronedude,1497898654648,#Blame Shlomo
variety,#totalbiscuit,newwillinium,1497898654715,*nods* Makes sense.
chill,#shenryyr,shen_chair_bot,1497898655071,FeelsBadMan Shlomo has been blamed 2548 times for this Bullcrap
speedrunning,#gamej06,therealkanten,1497898657332,"I live in a very boring city, we have the ""default"" fast food and not much else"
chill,#shenryyr,generalmartok11,1497898660220,shikaku
chill,#shenryyr,lemurlord,1497898660315,He could have sent in the penal battalions first KopiG
speedrunning,#gamej06,atomnb,1497898661219,"big jon, what was the name of that taco place in killeen where you could get like 10 tacos for just a couple dollars?"
speedrunning,#gamej06,piman01,1497898661721,follow who?
chill,#shenryyr,lemurlord,1497898663259,"Remember, we're communist"
chill,#enviosity,sparkydb3,1497898663282,unsubbed
chill,#enviosity,nwc90er,1497898663984,FailFish
speedrunning,#gamej06,producks,1497898665310,mario 1 is harder than lost level for me
speedrunning,#gamej06,moobot,1497898665430,"You're chance to win your share of $1,000 in CA$H is coming soon!! Check out the details at https://pastebin.com/1cQ0HrXH"
chill,#shenryyr,kopig,1497898671785,riiiiiight
speedrunning,#gamej06,therealkanten,1497898671939,we only got a Chik Fil-A last year
speedrunning,#gamej06,piman01,1497898672059,hey big jon gl on the urns!
variety,#totalbiscuit,notthatant,1497898678367,"""Rabies wasn't necessarily a bad thing"" Totalbiscuit, 2017, exclusive interview with Kotaku Australia. Kappa"
variety,#totalbiscuit,moobot,1497898678512,"Thank you for subbing, lord_ned, Oyarly and deadpresidentdanceoff! You now have access to VoDs, the best chat on Twitch, ad-free viewing and a ton of great cynicalHydra emotes cynicalUL"
variety,#totalbiscuit,schattenmensch,1497898680840,"yeah, that would be cool ... have your hero become a powerful vampire but maybe he gets insane as fuck or something ^^"
variety,#totalbiscuit,wanderingursa,1497898682177,Buff with blood on blood curse.
speedrunning,#gamej06,mindfirepsion,1497898682213,hwipser
variety,#totalbiscuit,kshade,1497898689946,I think it's 2
chill,#shenryyr,durpyfuc,1497898690086,#blame shlomo
speedrunning,#gamej06,bebopandtempo,1497898690520,Bebop and Tempo was just released and would love to send you some keys!
speedrunning,#gamej06,dominionrod,1497898693534,NO MAMES
chill,#shenryyr,ivanj05,1497898695268,Did shen declare on Japan or was it the other way around?
speedrunning,#gamej06,urfavplayer,1497898703865,wait is sgdq happening right now?
speedrunning,#gamej06,keyboredcowboy,1497898704654,WutFace uuuaaallllgh
chill,#enviosity,neko_zume,1497898705667,@sparkydb3 haha made me laugh 😂😂
variety,#totalbiscuit,kshade,1497898706677,"One in the first or second room, another with Genna just now"
chill,#shenryyr,generalmartok11,1497898706765,we're communist- so free saki for everyone!
variety,#totalbiscuit,thirdshift,1497898707192,"Two, second one you had Genna burn for the sanity"
chill,#shenryyr,imgran,1497898709745,@shenryyr Port at Kochi?
chill,#shenryyr,kopig,1497898712458,"@Ivanj05 shen did, hes a warmonger communist"
chill,#enviosity,l_steph_l,1497898714777,Done and done @otakusupreme
speedrunning,#gamej06,urfavplayer,1497898715892,!sgdq
speedrunning,#gamej06,quoteconut,1497898716112,"SGDQ 2017 is July 2nd-9th - Schedule at https://gamesdonequick.com/schedule - Unfortunately, i had to withdraw from the Mario Relay race due to reasons you can find at https://pastebin.com/ftxx2Bwp"
chill,#shenryyr,grinbringer,1497898716224,"aristidebancevu , another thing nukes do is destroy buildings. so he ruined germany's industry a long way away where he couldn't get with troops"
chill,#shenryyr,born2bwrong,1497898716419,^
variety,#totalbiscuit,wanderingursa,1497898716541,@Schattenmensch There is also a miniboss walking around that is super anti-vampire.
speedrunning,#gamej06,captainteo,1497898720343,Not until next - yeah.
chill,#enviosity,lolagrace_,1497898723336,always a super awkward situation to try and be as big as another guy enviLUL
variety,#totalbiscuit,kshade,1497898724650,Wasn't there a movie about feeding plants blood? Didn't end well.
variety,#totalbiscuit,rosaphim,1497898728268,@ThirdShift That wasn't the Hives
variety,#totalbiscuit,notthatant,1497898731626,?
speedrunning,#gamej06,zen_ivan,1497898733206,good luck
speedrunning,#gamej06,mindfirepsion,1497898733838,tfw Mario 1 is harder than Lost Levels.
variety,#totalbiscuit,casrasen,1497898734837,@ThirdShift different burn
variety,#totalbiscuit,newwillinium,1497898734969,Hello there little hermit.
chill,#shenryyr,aristidebancevu,1497898736152,#blame Hirohito
speedrunning,#gamej06,producks,1497898740730,it really is
speedrunning,#gamej06,shadowmissingno,1497898742839,Lost Levels I assume? Kappa
variety,#totalbiscuit,kshade,1497898742975,"Ground man,"
chill,#enviosity,gbguy,1497898743864,lewd enviShy
variety,#totalbiscuit,phaoray,1497898746019,are the flowers affecting your light levels?
variety,#totalbiscuit,thirdshift,1497898746311,"Wait, yeah, eggs"
variety,#totalbiscuit,theslikbandit,1497898747296,PogChamp
variety,#totalbiscuit,dascrooge,1497898747551,burn the shrew
speedrunning,#gamej06,producks,1497898747639,mario 1 is harder than lost level
chill,#shenryyr,i483,1497898748783,shenHak shenHak shenHak
variety,#totalbiscuit,talismaniac77,1497898749613,"@kshade Feed me, Seymore!"
variety,#totalbiscuit,ash32121,1497898749849,OOOOOH
variety,#totalbiscuit,halanaestra,1497898752815,Is the stream stuttering for anyone else?
chill,#shenryyr,termedd,1497898755528,what nation is he playing as?
speedrunning,#gamej06,skylizards,1497898755635,What is bebop and tempo? Curious : 3
variety,#totalbiscuit,schattenmensch,1497898756497,He pays well ^^
chill,#enviosity,lolagrace_,1497898756626,@gbguy prude*
chill,#shenryyr,imgran,1497898756812,#blame shlomo
variety,#totalbiscuit,thephoenixwylde,1497898757501,cynicalEyes cynicalEyes cynicalEyes
speedrunning,#gamej06,piman01,1497898760035,I thought this was lost levels lol
speedrunning,#gamej06,redamaford,1497898761529,Moon Get
variety,#totalbiscuit,lord_ned,1497898762257,"you get blood, and you get blood, everybody gets blood!"
variety,#totalbiscuit,fluffyabsol,1497898762808,"If in doubt, apply blood."
speedrunning,#gamej06,therealkanten,1497898764387,sometimes I feel like GDQ isn't nearly as fun to watch as it once was
variety,#totalbiscuit,marcos4912,1497898765956,cynicalSithGen cynicalSithGen cynicalSithGen
variety,#totalbiscuit,lonerarchon,1497898766058,he gives you a buff too
speedrunning,#gamej06,jseng93,1497898766156,a passion of a thousand blazing suns?
speedrunning,#gamej06,ivanzypher_,1497898766609,burning passion of 1000 suns!
variety,#totalbiscuit,markzetsu,1497898766900,@halanaestra No stutter here
variety,#totalbiscuit,newwillinium,1497898767831,Man this is a large dungeon.
chill,#shenryyr,third_paradox,1497898768137,"Losing 50k men in a war would be disaster today, but it was a single battle/engagement in ww2-ww1"
speedrunning,#gamej06,cluelessokie,1497898769725,A thousand Majora's Mask moons!
variety,#totalbiscuit,mariozanchez,1497898770296,halanaestra it did once but that was it
speedrunning,#gamej06,urfavplayer,1497898770309,fury of a thousand suns lol
chill,#enviosity,hibernationed,1497898770577,Can we do an easy run next? These SE's make me tired
variety,#totalbiscuit,luvonna,1497898771022,halanaestra I had a stutter happen. Working fine now.
variety,#totalbiscuit,schattenmensch,1497898771560,"uh, i love how much the paths wind in here"
variety,#totalbiscuit,notthatant,1497898771732,This update: blood. Next update: skulls.
variety,#totalbiscuit,ash32121,1497898772156,WTF
speedrunning,#gamej06,djgamer1983,1497898774226,i also live near a taco Cabana
variety,#totalbiscuit,triggra,1497898775098,@halanaestra I'm having stuttering.
variety,#totalbiscuit,ash32121,1497898778778,WELLL FUCK
chill,#enviosity,otakusupreme,1497898779940,I see it steph LUL
variety,#totalbiscuit,dascrooge,1497898780230,Croc!
variety,#totalbiscuit,azureblu,1497898780573,o hai
variety,#totalbiscuit,theslikbandit,1497898781905,OH SHIT
variety,#totalbiscuit,wanderingursa,1497898782252,BOSSTEIM!
chill,#shenryyr,cinnamongamer65,1497898782406,@termedd he's playing as the CSA: Communist states of America
variety,#totalbiscuit,marcos4912,1497898783528,cynicalScandal cynicalScandal cynicalScandal
variety,#totalbiscuit,newwillinium,1497898783983,ACTION shudders
variety,#totalbiscuit,notthatant,1497898784621,N O P E
variety,#totalbiscuit,lonerarchon,1497898785001,is that a bloated crocodile?
variety,#totalbiscuit,buttflubbercannon,1497898786198,OH CROC
variety,#totalbiscuit,fluffyabsol,1497898786331,It's REEKS. RUN FROM THE REEK.
variety,#totalbiscuit,kshade,1497898786525,Well...
variety,#totalbiscuit,lonerarchon,1497898788675,reeds
chill,#enviosity,otakusupreme,1497898789815,too many people hadnt seen it
chill,#shenryyr,ffj_isartor,1497898793183,F 9 Ships
variety,#totalbiscuit,greyfroggy21,1497898795277,doc croc?
variety,#totalbiscuit,phaoray,1497898795666,....huh....well...so much for this party. ^^;;
variety,#totalbiscuit,thirdshift,1497898796211,Big lipped alligator...?
variety,#totalbiscuit,bubbalubber,1497898797027,rip
speedrunning,#gamej06,demonbattler,1497898797245,Yo BigJon!
variety,#totalbiscuit,southscout,1497898797265,"@halanaestra yeah, stuttering a bit as well"
variety,#totalbiscuit,spoiled_de,1497898797343,"""the cost of preparedness, now measured in gold...later in blood..."""
chill,#shenryyr,cinnamongamer65,1497898797476,Are you at war with the rest of the Axis?
chill,#shenryyr,imgran,1497898798162,Japan still holds Cheju
variety,#totalbiscuit,dascrooge,1497898799991,damn you shrubbery!
variety,#totalbiscuit,theslikbandit,1497898800394,Jim's gone off the deep end
variety,#totalbiscuit,buttflubbercannon,1497898800852,"Jim Sterling is masochistic, i knew it"
chill,#shenryyr,durpyfuc,1497898800974,#Blame Alex
variety,#totalbiscuit,fluffyabsol,1497898801269,How fitting.
speedrunning,#gamej06,captainteo,1497898801463,Whoa.
variety,#totalbiscuit,craigvictory,1497898801543,run?
variety,#totalbiscuit,ash32121,1497898803078,Run mate
variety,#totalbiscuit,straga,1497898803600,Run?
variety,#totalbiscuit,archypad,1497898804027,Jim Sterling masochistic LUL
variety,#totalbiscuit,katzuran,1497898804519,Run away!
variety,#totalbiscuit,markzetsu,1497898805378,Jim is a masochist? LUL
variety,#totalbiscuit,maximalist566,1497898807397,"Yep, that's Jim"
variety,#totalbiscuit,moobot,1497898807637,"Thank you for subbing, acolargg! You now have access to VoDs, the best chat on Twitch, ad-free viewing and a ton of great cynicalHydra emotes cynicalUL"
variety,#totalbiscuit,azureblu,1497898808058,yeah nooooo
variety,#totalbiscuit,ash32121,1497898808143,it's 118
variety,#totalbiscuit,kshade,1497898809844,It's got over 100 HP. Naaah.
speedrunning,#gamej06,mustackk,1497898809899,"hey Jon, cool shirt!"
variety,#totalbiscuit,mariozanchez,1497898811044,cynicalWTF
variety,#totalbiscuit,lord_ned,1497898811168,fight to the last!
chill,#shenryyr,nephilim_uk,1497898811570,inb4 ryukyu breaks free and goes full 3 mountains
variety,#totalbiscuit,halanaestra,1497898812072,"Okay, so it's not on my end. Thanks"
chill,#enviosity,neko_zume,1497898812175,top
chill,#enviosity,hibernationed,1497898812423,I prefer top bunk
variety,#totalbiscuit,buttflubbercannon,1497898812670,"Totalbiscuit, you fed the plants!"
variety,#totalbiscuit,schattenmensch,1497898817125,"yeah, getting some framedrops as well"
variety,#totalbiscuit,newwillinium,1497898818457,Its like a . . . What were those Starcraft 2 Zerg enemies that sent locusts out of its back? Its like a mix between one of those and a Crocodile.
variety,#totalbiscuit,wanderingursa,1497898818615,118 HP.
chill,#enviosity,somepizza,1497898819780,top
variety,#totalbiscuit,kmdbleach,1497898819906,only fight it if you can force it to front
variety,#totalbiscuit,tbsteak169,1497898820275,That is the Ugliest Alligator I have ever seen !! cynicalWTF
chill,#shenryyr,termedd,1497898820351,how do u increase your manpower is there a way?
variety,#totalbiscuit,dealenkiii,1497898822262,"Huh obligatory corpses, well played D:"
speedrunning,#gamej06,incoherentsa,1497898823437,Taco Cabana is good for tortillas and queso and that's about it
chill,#shenryyr,imgran,1497898824833,@shenryyr Port in Kochi?
variety,#totalbiscuit,notthatant,1497898825576,ofc Sterling is a masochist. cynicalUL
chill,#shenryyr,third_paradox,1497898827630,I think Us army lost about 3k men trying to take an island with no japanese on it
speedrunning,#gamej06,bebopandtempo,1497898828219,"@Skylizards A retro arcade platforming game for PC/Mac, just released on Steam and Mac App Store. We think GameJ06 would like it"
chill,#shenryyr,p0derosoo,1497898828939,change conscription law
variety,#totalbiscuit,kmdbleach,1497898829561,run
variety,#totalbiscuit,trueheart78,1497898830614,80% PROT
variety,#totalbiscuit,phaoray,1497898831118,run
chill,#enviosity,thenewpure,1497898831647,I actualy prefer the reverse cowgirl on bottom
variety,#totalbiscuit,rosaphim,1497898832854,The bushes have 100 hp
chill,#shenryyr,lemurlord,1497898833027,you bump up your constcription level
chill,#shenryyr,p0derosoo,1497898833065,or certain national focus
speedrunning,#gamej06,jseng93,1497898834299,i mean
variety,#totalbiscuit,lord_ned,1497898836342,low stun resist on the boss
variety,#totalbiscuit,azureblu,1497898838506,weeds have 100 hp lolol
variety,#totalbiscuit,kshade,1497898840499,dealenkiii: Like the prophet guy!
variety,#totalbiscuit,fluffyabsol,1497898841541,Peek-a-Croc?
chill,#shenryyr,voooyt,1497898841581,Could You show us how the war in Europe is going Shen ?
chill,#enviosity,somepizza,1497898842697,WutFace
speedrunning,#gamej06,piman01,1497898842893,is that city camo?
speedrunning,#gamej06,ivanzypher_,1497898843902,Camo sponsor
speedrunning,#gamej06,jseng93,1497898845826,i can only see your head and the top of the v neck
variety,#totalbiscuit,phaoray,1497898846764,strong ass plants
variety,#totalbiscuit,marcos4912,1497898846867,cynicalOhgodwhy cynicalOhgodwhy cynicalOhgodwhy
variety,#totalbiscuit,lonerarchon,1497898847711,hahahaha
variety,#totalbiscuit,schattenmensch,1497898847843,"""Lurking Fear"" ... i see what you did there devs :D"
variety,#totalbiscuit,greyfroggy21,1497898848249,:O
chill,#shenryyr,termedd,1497898849442,i like playing as small nations but i usually really low on manpower even after going fascist
chill,#enviosity,otakusupreme,1497898849555,all right im out
variety,#totalbiscuit,wanderingursa,1497898850120,HAHAHA! Masochist makes it impossible to run.
chill,#enviosity,otakusupreme,1497898852279,catch yall later
variety,#totalbiscuit,talismaniac77,1497898852785,Agi-lator :)
variety,#totalbiscuit,nicholasivt,1497898855204,F
speedrunning,#gamej06,mindfirepsion,1497898855823,BigJonsPCShirts
variety,#totalbiscuit,dascrooge,1497898855832,not happening
speedrunning,#gamej06,jseng93,1497898858014,the rest of you is invisible for some reason
chill,#enviosity,scrtt,1497898859493,Why not both ¯\_(ツ)_/¯
chill,#enviosity,k1n_gg,1497898859662,!uptime
chill,#enviosity,nightbot,1497898860097,1 hour 58 minutes 7 seconds
variety,#totalbiscuit,greyfroggy21,1497898861897,cynicalDead
variety,#totalbiscuit,metacomet93,1497898865822,F
variety,#totalbiscuit,ash32121,1497898866458,and the frame drop
speedrunning,#gamej06,tinostar11,1497898867356,#BlameNintendo
chill,#enviosity,shadow135764,1497898867376,@OtakuSupreme o/ laters
speedrunning,#gamej06,therealkanten,1497898867665,"when Jon says he's not at GDQ, it's a prank, the camouflage on the shirt is that good KappaHD"
variety,#totalbiscuit,fluffyabsol,1497898871181,cynicalGen2
variety,#totalbiscuit,halanaestra,1497898871269,Jim is soooo dead
chill,#shenryyr,leninzegreat,1497898871319,Maybe marines Shenryyr ? They will come in handy
chill,#shenryyr,i483,1497898873372,Wait
chill,#shenryyr,i483,1497898878467,German Republic?
chill,#shenryyr,squirrrelarmy,1497898878879,we dont need nukes. drop bags of flaming dog poop on enemies!
speedrunning,#gamej06,djgamer1983,1497898879029,i also live near In and Out Burger​ and 5 guys
variety,#totalbiscuit,trueheart78,1497898879498,"Yeah no, 80% protection is crazy already"
chill,#shenryyr,willtellu,1497898881036,russia stronk! hey will be fine
variety,#totalbiscuit,talismaniac77,1497898881144,Bye Jim
speedrunning,#gamej06,skylizards,1497898883198,"Ooh cool @bebopandtempo that sounds fun. I may have to check it out, sounds like my kinda game"
variety,#totalbiscuit,halanaestra,1497898883271,And crendor...
chill,#enviosity,l_steph_l,1497898884386,por que no los dos?
variety,#totalbiscuit,thelightwraith,1497898884781,discretion is the better part of valor
chill,#shenryyr,cinnamongamer65,1497898885282,@termedd do you change your conscription law?
variety,#totalbiscuit,ilidag,1497898887905,Crendor is going to lose his mind
chill,#shenryyr,willtellu,1497898889849,it's only a flesh wound
speedrunning,#gamej06,jseng93,1497898890149,ohhhh In & out is so good
chill,#enviosity,l_steph_l,1497898896451,cya otaku emviV
variety,#totalbiscuit,megamanred,1497898897270,party order
chill,#shenryyr,bocator,1497898897512,6.7 millions ? just a warm-up LUL
variety,#totalbiscuit,wanderingursa,1497898898724,Thronging hives CAN appear in hallways as well.
variety,#totalbiscuit,buttflubbercannon,1497898900130,"Fight it, TB. What could go wrong"
chill,#shenryyr,voooyt,1497898904501,its just a scratch!
chill,#enviosity,shadow135764,1497898906039,*emuV
chill,#enviosity,shadow135764,1497898908192,enviNom
variety,#totalbiscuit,halanaestra,1497898910086,@TotalBiscuit Abandon for now?
chill,#shenryyr,pucsi,1497898911786,Did Shen restarted? What happened?
chill,#enviosity,l_steph_l,1497898912194,damn it phone! enviRage
variety,#totalbiscuit,phaoray,1497898914279,Does that plant you feed blood to affect your light level maybe?
chill,#enviosity,hibernationed,1497898915754,is there sound delay with video or just me?
chill,#enviosity,gbguy,1497898916872,shadow135764 MEGALUL
chill,#shenryyr,lemurlord,1497898917481,"South Africa only has like, 25k manpower at the start LUL"
speedrunning,#gamej06,boidoguts,1497898918045,another castle!
variety,#totalbiscuit,notthatant,1497898918439,You can take it. What could possibly go wrong? Kappa
speedrunning,#gamej06,pyronn15,1497898918966,Kreygasm
speedrunning,#gamej06,djgamer1983,1497898919863,i live in texas
speedrunning,#gamej06,ivanzypher_,1497898920593,6-3 looked short though
chill,#enviosity,l_steph_l,1497898922070,enviV
variety,#totalbiscuit,fluffyabsol,1497898924471,Ice Bear knows CPR. cynicalBear
chill,#enviosity,shadow135764,1497898924904,@gbguy LUL
chill,#shenryyr,myslius,1497898925538,how last game in europe ended
variety,#totalbiscuit,gnomejon,1497898925843,"@TotalBiscuit feed crendor blood, see if it reduces stress"
chill,#shenryyr,lemurlord,1497898926784,so even bumping the conscription law doesnt help too much
chill,#enviosity,thenewpure,1497898927579,UHH
chill,#shenryyr,myslius,1497898927623,?
chill,#shenryyr,imgran,1497898929012,@Pucsi Shen restarted from yesterday if that's what you're asking
chill,#enviosity,somepizza,1497898929201,DansGame
variety,#totalbiscuit,lonerarchon,1497898929879,this seems much harder than listed
variety,#totalbiscuit,dascrooge,1497898930459,go burn something
chill,#enviosity,l_steph_l,1497898930580,it's baschlarb
chill,#enviosity,bobsthename2015,1497898931751,its me! Dio!
variety,#totalbiscuit,metacomet93,1497898931862,Should you get rid of the curse?
chill,#enviosity,thenewpure,1497898932676,This is kinda
variety,#totalbiscuit,wanderingursa,1497898934122,You don't HAVE to go that way.
speedrunning,#gamej06,jseng93,1497898934565,i like 5 guys too but they got more expensive lately
chill,#enviosity,fir3man_tv,1497898934700,RIP
chill,#enviosity,l_steph_l,1497898934881,enviY
chill,#enviosity,somepizza,1497898934980,it's Owen
chill,#enviosity,thenewpure,1497898935010,jesus fuck
variety,#totalbiscuit,rosaphim,1497898936178,"You miss every shot you don't take, TB"
chill,#enviosity,neko_zume,1497898936712,it's me Kappa
chill,#enviosity,zippityzoot,1497898937468,🚪
chill,#enviosity,scrtt,1497898938848,amazon is at your door twat
chill,#enviosity,chuckdogg83,1497898940061,it's the twitch killer
chill,#enviosity,gbguy,1497898940831,l_steph_l real or fake baschlarb enviHuh
chill,#enviosity,zippityzoot,1497898942662,It's Jesus
speedrunning,#gamej06,terryxmasters,1497898943620,What debate? We all know Sonic wins \ OpieOP /
speedrunning,#gamej06,raybanned_,1497898943637,did someone say Five Guys? Kreygasm
chill,#enviosity,lysolpionex,1497898943917,WutFace someone at the door!
chill,#shenryyr,termedd,1497898943996,@CinnamonGamer65 yea to 3 percent or is the max better
chill,#shenryyr,jorgesalsa,1497898945804,Is the game music sounds laggy or its only me ?
speedrunning,#gamej06,mindfirepsion,1497898946307,But its Five Guys. Now there isn't a debate. :D
variety,#totalbiscuit,vertiguous,1497898946743,use the blood on crendor?
chill,#enviosity,gbguy,1497898947360,scrtt LUL
speedrunning,#gamej06,cbgaf,1497898947733,the five guys cajun fries are the best fries in the game
speedrunning,#gamej06,therealkanten,1497898948320,"I must be weird, I prefer Smashburger to Five Guys"
speedrunning,#gamej06,terryxmasters,1497898948632,Kappa
chill,#enviosity,jaylang11,1497898950319,4 hours later
chill,#enviosity,l_steph_l,1497898951943,fake one @gbguy enviY
speedrunning,#gamej06,redamaford,1497898955679,memes?
chill,#enviosity,shadow135764,1497898955925,enviY
chill,#enviosity,gbguy,1497898957721,NotLikeThis
variety,#totalbiscuit,eddythezergling,1497898958960,there are like 2 other ways you can go
speedrunning,#gamej06,jukerrr,1497898959892,lol
chill,#enviosity,shadow135764,1497898960382,he brought t-shirts enviY
speedrunning,#gamej06,1idgofr,1497898960510,In N Out by a wide margin
